iter	RMSE
0	109709.36
1	103911.6946
2	98822.00735
3	94112.47145
4	90298.18163
5	86862.1356
6	83838.43253
7	81358.3717
8	79207.28604
9	76862.33634
10	75146.57096
11	73464.96204
12	71999.46274
13	70807.02484
14	69733.4118
15	68717.27296
16	67704.22694
17	66949.02407
18	66224.4335
19	65629.23011
20	65074.95573
21	64538.4568
22	63992.52568
23	63291.85394
24	62810.70202
25	62333.92452
26	61952.15629
27	61587.75623
28	61285.47447
29	60977.55621
30	60605.58375
31	60152.14772
32	59729.45593
33	59532.16044
34	59094.44074
35	58792.62177
36	58595.02481
37	58239.94598
38	58047.02242
39	57870.33632
40	57695.35573
41	57487.25434
42	57267.99117
43	57136.1698
44	56730.35098
45	56534.13869
46	56377.63311
47	56026.02255
48	55849.12009
49	55701.79223
50	55538.39759
51	55403.66293
52	55197.1245
53	55005.38137
54	54941.36747
55	54786.84498
56	54590.63755
57	54437.31555
58	54312.57847
59	54153.0485
60	54030.29543
61	53902.85745
62	53710.68206
63	53654.68956
64	53555.70009
65	53355.99655
66	53190.5936
67	53044.05997
68	52913.89028
69	52705.49119
70	52584.58291
71	52450.46407
72	52326.65319
73	52257.30596
74	52158.00025
75	52022.96262
76	51904.08231
77	51808.35122
78	51701.67104
79	51605.97625
80	51501.03259
81	51396.45848
82	51323.93939
83	51262.51608
84	51165.77501
85	51092.86755
86	51045.02936
87	50901.6525
88	50822.42256
89	50766.77208
90	50663.67952
91	50569.76769
92	50502.54902
93	50439.98578
94	50309.33104
95	50237.92625
96	50200.40926
97	50093.98369
98	50038.83371
99	49963.55939
100	49849.89264
101	49743.70716
102	49635.84621
103	49535.1258
104	49477.97844
105	49371.97547
106	49292.60247
107	49214.82838
108	49161.91951
109	49091.70911
110	49052.11444
111	48954.61002
112	48888.23302
113	48798.97812
114	48725.20127
115	48543.71227
116	48475.87465
117	48389.94466
118	48281.23461
119	48174.82218
120	48114.33371
121	48068.84989
122	48020.49242
123	47893.33404
124	47826.87273
125	47749.26946
126	47710.39648
127	47659.6562
128	47510.03089
129	47430.05927
130	47334.18888
131	47280.33834
132	47214.34636
133	47144.18861
134	47085.17793
135	46959.49785
136	46896.837
137	46841.83802
138	46748.21841
139	46701.68995
140	46608.55858
141	46539.34176
142	46486.09241
143	46427.9537
144	46342.76456
145	46291.4539
146	46236.46685
147	46189.97436
148	46106.86296
149	46036.533
150	45989.06899
151	45924.34751
152	45873.71646
153	45798.80541
154	45734.12132
155	45686.87162
156	45656.38871
157	45614.26537
158	45572.19598
159	45494.28358
160	45438.45866
161	45383.62929
162	45323.91641
163	45264.25293
164	45217.48159
165	45160.24042
166	45107.20314
167	45067.62734
168	44999.61346
169	44959.0843
170	44906.81383
171	44873.3055
172	44829.51713
173	44795.44256
174	44756.70967
175	44728.8365
176	44634.94217
177	44594.01318
178	44536.51158
179	44483.99689
180	44436.38659
181	44400.22955
182	44341.79213
183	44311.07333
184	44262.66135
185	44197.00609
186	44160.33008
187	44125.27823
188	44076.00766
189	44004.82185
190	43966.01154
191	43899.11899
192	43848.55082
193	43784.94992
194	43735.14795
195	43688.12374
196	43641.80947
197	43611.01481
198	43556.21869
199	43523.84977
200	43497.08531
201	43463.09956
202	43432.59575
203	43390.63732
204	43317.80574
205	43279.06906
206	43243.9117
207	43209.57614
208	43178.27541
209	43154.6338
210	43103.84745
211	43048.13881
212	42995.9128
213	42967.52881
214	42916.7242
215	42890.58348
216	42848.91329
217	42826.5728
218	42771.79856
219	42737.32658
220	42716.90116
221	42686.94447
222	42667.99465
223	42620.56006
224	42574.79636
225	42526.09741
226	42494.99016
227	42445.74448
228	42384.73768
229	42349.015
230	42324.263
231	42298.58875
232	42274.92209
233	42250.10841
234	42213.59635
235	42179.09277
236	42132.78434
237	42092.80499
238	42053.11949
239	42018.47781
240	41966.38117
241	41940.1604
242	41904.271
243	41875.39044
244	41846.70149
245	41831.47358
246	41789.72391
247	41766.51582
248	41744.20117
249	41683.96997
250	41658.0548
251	41626.29117
252	41611.13217
253	41581.13984
254	41536.85547
255	41499.31518
256	41472.13524
257	41456.09229
258	41417.15915
259	41387.32341
260	41343.92588
261	41301.83409
262	41257.24016
263	41221.91134
264	41187.91858
265	41151.71561
266	41137.027
267	41088.55396
268	41063.47916
269	41040.65655
270	41025.37342
271	40978.4465
272	40947.72891
273	40921.30411
274	40899.8064
275	40869.33804
276	40834.53878
277	40797.34945
278	40776.15495
279	40745.96468
280	40725.95197
281	40691.04816
282	40658.14278
283	40645.17664
284	40615.28343
285	40573.0459
286	40535.84475
287	40502.93394
288	40463.84168
289	40434.57305
290	40413.03681
291	40401.6917
292	40357.23268
293	40333.94523
294	40290.88839
295	40260.54574
296	40235.24489
297	40213.32535
298	40202.19328
299	40156.18084
300	40125.5412
301	40099.30376
302	40065.84142
303	40040.76219
304	40029.65958
305	40006.40031
306	39975.64895
307	39943.60868
308	39909.29756
309	39879.63107
310	39849.85497
311	39829.10539
312	39793.59011
313	39766.03679
314	39730.72492
315	39711.28948
316	39686.7509
317	39671.01585
318	39649.1311
319	39623.41062
320	39600.88331
321	39566.88103
322	39538.47092
323	39507.80745
324	39466.57219
325	39439.17904
326	39420.59496
327	39404.2846
328	39380.34679
329	39362.62362
330	39320.88126
331	39288.97369
332	39261.97755
333	39223.05756
334	39202.43197
335	39175.818
336	39164.92814
337	39134.81684
338	39118.8321
339	39077.57839
340	39060.35589
341	39032.39604
342	39008.26364
343	38990.83193
344	38964.02331
345	38940.14034
346	38918.87978
347	38881.39065
348	38866.72415
349	38834.04279
350	38804.73044
351	38774.27772
352	38750.73573
353	38733.41957
354	38708.28389
355	38682.2651
356	38657.20438
357	38640.00585
358	38608.81498
359	38573.16924
360	38556.35277
361	38537.16912
362	38520.62818
363	38499.2165
364	38463.15831
365	38452.05246
366	38420.64022
367	38406.98226
368	38381.72794
369	38345.28531
370	38312.6745
371	38279.3896
372	38254.3171
373	38225.22913
374	38213.50258
375	38197.42952
376	38174.44132
377	38137.53386
378	38110.45269
379	38079.13506
380	38035.97046
381	38013.90448
382	37988.06677
383	37974.92329
384	37949.43375
385	37924.70114
386	37901.5487
387	37877.49286
388	37871.41866
389	37853.71911
390	37838.08758
391	37816.83015
392	37791.23948
393	37771.03759
394	37741.74728
395	37726.9585
396	37703.96763
397	37672.08031
398	37658.0542
399	37632.50151
400	37600.0289
401	37567.70564
402	37542.97971
403	37519.14742
404	37510.02544
405	37502.4569
406	37485.99761
407	37463.6215
408	37449.32395
409	37427.23412
410	37402.41227
411	37382.54962
412	37353.39353
413	37335.73129
414	37323.32787
415	37303.642
416	37290.38074
417	37259.05456
418	37240.13852
419	37222.87315
420	37213.83976
421	37196.24536
422	37169.36909
423	37143.76056
424	37124.46311
425	37100.37641
426	37077.30285
427	37059.80136
428	37038.17504
429	37023.6408
430	36996.70566
431	36971.34647
432	36958.64436
433	36927.95809
434	36914.16831
435	36896.58748
436	36871.27344
437	36861.63985
438	36851.16531
439	36838.33531
440	36812.53202
441	36799.24891
442	36772.98379
443	36757.0607
444	36726.6081
445	36707.8254
446	36692.60816
447	36666.57893
448	36641.86672
449	36616.81446
450	36596.38716
451	36583.67984
452	36564.45415
453	36546.79981
454	36532.47508
455	36510.99525
456	36490.32098
457	36463.31666
458	36439.97601
459	36419.90046
460	36416.57565
461	36399.38294
462	36373.82093
463	36353.79018
464	36341.52253
465	36324.82652
466	36317.98149
467	36302.47159
468	36291.71634
469	36267.8815
470	36253.76849
471	36234.48003
472	36221.32585
473	36209.58021
474	36184.6481
475	36160.29729
476	36147.74248
477	36129.96989
478	36099.27631
479	36082.37052
480	36062.04345
481	36034.57807
482	36021.6149
483	36001.22734
484	35990.45142
485	35976.8265
486	35961.00197
487	35952.32346
488	35938.65329
489	35919.03082
490	35898.9796
491	35882.39603
492	35872.935
493	35847.1072
494	35839.54458
495	35827.39528
496	35804.98194
497	35797.11579
498	35772.90886
499	35761.61118
500	35752.76632
501	35727.42222
502	35715.88987
503	35701.34642
504	35686.04943
505	35664.00609
506	35655.22431
507	35638.36037
508	35612.23954
509	35596.95554
510	35568.71872
511	35541.65087
512	35527.58772
513	35511.10424
514	35492.93804
515	35475.87555
516	35457.71986
517	35445.9238
518	35424.18371
519	35408.79387
520	35384.45659
521	35371.16863
522	35358.64719
523	35348.17324
524	35317.40702
525	35307.36609
526	35288.82119
527	35281.15423
528	35261.64233
529	35240.53309
530	35215.30752
531	35188.66209
532	35176.41937
533	35159.86375
534	35138.51655
535	35114.69294
536	35105.34621
537	35091.67355
538	35080.41122
539	35064.95307
540	35050.48192
541	35040.18785
542	35023.73697
543	35003.04367
544	34987.26333
545	34968.26259
546	34943.94395
547	34935.62363
548	34929.22281
549	34906.50808
550	34898.34385
551	34874.93768
552	34861.26358
553	34846.85806
554	34828.4636
555	34799.74134
556	34792.57004
557	34773.23976
558	34766.82249
559	34756.40095
560	34741.46308
561	34714.5721
562	34695.49058
563	34678.83135
564	34659.38125
565	34652.42523
566	34639.86467
567	34629.53994
568	34605.43339
569	34589.29619
570	34575.8685
571	34566.71721
572	34557.21946
573	34535.98711
574	34524.71815
575	34511.22639
576	34487.28575
577	34473.39633
578	34459.84313
579	34439.96871
580	34423.93724
581	34414.2049
582	34401.12584
583	34376.26102
584	34356.88058
585	34337.99098
586	34317.93589
587	34292.69097
588	34280.53348
589	34267.02946
590	34258.47066
591	34237.35879
592	34211.03077
593	34194.5689
594	34181.64898
595	34162.57714
596	34154.57116
597	34139.34264
598	34127.05366
599	34103.58434
600	34091.77155
601	34083.06523
602	34065.34059
603	34050.54058
604	34041.21428
605	34027.74065
606	34012.26709
607	34000.00976
608	33983.42868
609	33962.90429
610	33946.00178
611	33930.55274
612	33919.75269
613	33905.3366
614	33884.96905
615	33868.44294
616	33856.49506
617	33843.90229
618	33831.31055
619	33813.35544
620	33802.07335
621	33787.08747
622	33768.85221
623	33745.91248
624	33734.35349
625	33721.23504
626	33701.46732
627	33687.45768
628	33677.57645
629	33656.62492
630	33641.92262
631	33623.24373
632	33600.46414
633	33585.96348
634	33559.07093
635	33539.65981
636	33523.32946
637	33508.08369
638	33497.69859
639	33484.04196
640	33470.8876
641	33460.97615
642	33442.90909
643	33428.03285
644	33413.12026
645	33393.93365
646	33375.86206
