rank,estimator,val_rmse,train_time,config
1,xgboost,45790.01361266176,6.693,"{'n_estimators': 4235, 'max_leaves': 9, 'min_child_weight': 0.44289062123590356, 'learning_rate': 0.07778407877277206, 'subsample': 0.9437538377225084, 'colsample_bylevel': 0.9647949395335206, 'colsample_bytree': 0.9877878456495247, 'reg_alpha': 0.008485088595278224, 'reg_lambda': 0.7439176476353904}"
2,xgboost,46072.394140724486,3.614,"{'n_estimators': 1259, 'max_leaves': 17, 'min_child_weight': 0.22161786383500748, 'learning_rate': 0.10022442139383235, 'subsample': 0.831815573870732, 'colsample_bylevel': 0.9367708357689092, 'colsample_bytree': 1.0, 'reg_alpha': 0.006085833824574685, 'reg_lambda': 12.330433910291438}"
3,xgboost,46538.70179002044,1.351,"{'n_estimators': 206, 'max_leaves': 40, 'min_child_weight': 0.22832695926526192, 'learning_rate': 0.20283799772488423, 'subsample': 0.8406285097972522, 'colsample_bylevel': 0.9602017468771757, 'colsample_bytree': 0.9993271961638156, 'reg_alpha': 0.0014585172191691575, 'reg_lambda': 9.711377824359996}"
4,catboost,47035.18528625132,1.759,"{'early_stopping_rounds': 10, 'learning_rate': 0.09999999999999996, 'n_estimators': 8192}"
5,xgboost,49505.04792262991,0.517,"{'n_estimators': 42, 'max_leaves': 69, 'min_child_weight': 0.8442743928633664, 'learning_rate': 0.48294932337210494, 'subsample': 0.7670200192232306, 'colsample_bylevel': 1.0, 'colsample_bytree': 1.0, 'reg_alpha': 0.005098546530512515, 'reg_lambda': 21.723837994958455}"
6,xgboost,50737.08423248673,0.164,"{'n_estimators': 25, 'max_leaves': 38, 'min_child_weight': 2.813215490033363, 'learning_rate': 0.17833729167608375, 'subsample': 0.8676989550761623, 'colsample_bylevel': 0.9761142820940875, 'colsample_bytree': 0.9763763639565334, 'reg_alpha': 0.0009765625, 'reg_lambda': 6.40085221135825}"
7,xgboost,53647.34953214286,0.081,"{'n_estimators': 15, 'max_leaves': 26, 'min_child_weight': 0.9030514379170209, 'learning_rate': 0.5500317092437325, 'subsample': 0.7837846133419992, 'colsample_bylevel': 0.9919147257144936, 'colsample_bytree': 0.9549891298248687, 'reg_alpha': 0.0009765625, 'reg_lambda': 0.4502108984066631}"
8,xgboost,61196.90132748517,0.041,"{'n_estimators': 6, 'max_leaves': 12, 'min_child_weight': 0.9191655626987706, 'learning_rate': 0.48812015095338124, 'subsample': 0.9988062818713284, 'colsample_bylevel': 0.9495895426183761, 'colsample_bytree': 0.960762834056581, 'reg_alpha': 0.0009765625, 'reg_lambda': 0.38351060882545274}"
9,lgbm,84748.761463471,0.016,"{'n_estimators': 4, 'num_leaves': 9, 'min_child_samples': 24, 'learning_rate': 0.15080280060326612, 'log_max_bin': 7, 'colsample_bytree': 1.0, 'reg_alpha': 0.0009765625, 'reg_lambda': 0.04561250779031766}"
10,lgbm,95255.67590283541,0.024,"{'n_estimators': 4, 'num_leaves': 4, 'min_child_samples': 20, 'learning_rate': 0.09999999999999995, 'log_max_bin': 8, 'colsample_bytree': 1.0, 'reg_alpha': 0.0009765625, 'reg_lambda': 1.0}"
11,xgboost,95292.56403734679,0.042,"{'n_estimators': 4, 'max_leaves': 4, 'min_child_weight': 0.9999999999999993, 'learning_rate': 0.09999999999999995, 'subsample': 1.0, 'colsample_bylevel': 1.0, 'colsample_bytree': 1.0, 'reg_alpha': 0.0009765625, 'reg_lambda': 1.0}"
