longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_lt1H_OCEAN,ocean_INLAND,ocean_ISLAND,ocean_NEAR_BAY,ocean_NEAR_OCEAN,prediction
-120.94,39.32,14.0,3120.0,595.0,1569.0,556.0,3.5385,157400.0,0,1,0,0,0,147017.2748259766
-118.44,34.01,43.0,1408.0,246.0,651.0,240.0,4.5795,400000.0,1,0,0,0,0,374709.34140211565
-118.16,33.97,23.0,1516.0,457.0,1977.0,435.0,2.3068,157800.0,1,0,0,0,0,165205.2687980764
-118.32,33.97,52.0,1590.0,302.0,844.0,295.0,2.7139,164900.0,1,0,0,0,0,151090.33775073252
-117.28,34.15,32.0,2170.0,430.0,815.0,401.0,3.1765,135000.0,0,1,0,0,0,130494.00282908404
-121.96,37.85,10.0,3209.0,379.0,1199.0,392.0,12.2478,500001.0,0,1,0,0,0,491195.4181783308
-118.01,33.75,30.0,3380.0,722.0,2269.0,652.0,4.525,186000.0,1,0,0,0,0,194621.8798329678
-117.4,33.96,51.0,1806.0,322.0,709.0,298.0,3.575,125500.0,0,1,0,0,0,140612.89490089015
-118.28,34.03,26.0,2107.0,809.0,2821.0,572.0,0.844,350000.0,1,0,0,0,0,325540.6847221224
-119.03,34.23,21.0,3284.0,487.0,1832.0,521.0,5.2773,250800.0,1,0,0,0,0,251985.13527599792
-118.33,34.11,37.0,2330.0,434.0,846.0,457.0,8.2335,430200.0,1,0,0,0,0,448067.1518144144
-119.69,34.43,30.0,1273.0,343.0,1082.0,325.0,2.5104,228100.0,1,0,0,0,0,243867.66895536144
-116.61,33.04,11.0,2522.0,538.0,616.0,269.0,3.875,198100.0,0,1,0,0,0,194823.0417537214
-122.19,37.75,28.0,856.0,189.0,435.0,162.0,0.8012,81800.0,0,0,0,1,0,100058.54758617688
-121.48,38.51,24.0,979.0,201.0,723.0,205.0,2.5926,72300.0,0,1,0,0,0,87028.88738587771
-121.28,38.61,23.0,2547.0,504.0,1235.0,469.0,2.4722,103300.0,0,1,0,0,0,117413.1799008246
-122.18,37.72,45.0,1498.0,313.0,1003.0,305.0,3.8047,156700.0,0,0,0,1,0,142632.78025610454
-117.7,33.48,10.0,3458.0,638.0,1156.0,470.0,6.3579,336700.0,1,0,0,0,0,363222.1203505013
-121.25,38.67,14.0,6155.0,1034.0,2407.0,941.0,4.2262,244300.0,0,1,0,0,0,222396.03058507916
-118.75,34.17,16.0,2950.0,387.0,1228.0,379.0,5.3749,346100.0,0,0,0,0,1,317792.6524806032
-122.3,38.29,40.0,1739.0,318.0,744.0,312.0,2.6518,156100.0,0,0,0,1,0,150622.47916591255
-117.94,33.88,35.0,1694.0,296.0,679.0,282.0,4.3333,239300.0,1,0,0,0,0,245958.22471211385
-117.23,32.72,38.0,2827.0,581.0,972.0,558.0,3.2361,500001.0,0,0,0,0,1,469267.10200173745
-122.38,39.68,21.0,1155.0,210.0,510.0,175.0,2.3851,67500.0,0,1,0,0,0,87060.60571833664
-117.99,33.73,24.0,2104.0,421.0,1181.0,414.0,3.8365,250900.0,1,0,0,0,0,228882.95039408625
-118.07,33.87,28.0,2399.0,436.0,1613.0,429.0,3.6339,220100.0,1,0,0,0,0,198591.79287328487
-116.99,33.2,17.0,2980.0,539.0,1531.0,505.0,3.1553,250000.0,1,0,0,0,0,204268.57605648568
-117.49,34.04,4.0,6034.0,1170.0,3527.0,1098.0,4.1775,143700.0,0,1,0,0,0,146782.07564162833
-122.26,37.86,52.0,3497.0,832.0,1493.0,794.0,2.9044,257400.0,0,0,0,1,0,271409.21220033197
-118.41,34.16,32.0,3060.0,505.0,1159.0,510.0,6.3703,465800.0,1,0,0,0,0,435535.9633715993
-118.13,33.9,35.0,1458.0,261.0,686.0,236.0,3.9038,202700.0,1,0,0,0,0,205693.28322763985
-118.47,34.2,20.0,3939.0,1143.0,2475.0,1002.0,2.9025,229100.0,1,0,0,0,0,227056.84766215624
-119.02,35.38,48.0,346.0,92.0,129.0,63.0,1.1875,63800.0,0,1,0,0,0,67831.88847844006
-121.78,37.24,17.0,2123.0,341.0,1067.0,339.0,6.0062,262700.0,1,0,0,0,0,264290.74597887386
-121.37,37.06,25.0,474.0,92.0,300.0,104.0,3.8062,340900.0,0,1,0,0,0,316000.8841676879
-121.24,38.22,28.0,2593.0,487.0,1365.0,457.0,3.3929,113000.0,0,1,0,0,0,116526.1101864421
-122.32,37.94,46.0,1901.0,295.0,833.0,352.0,5.5196,210800.0,0,0,0,1,0,211414.3819253051
-117.18,34.06,26.0,1953.0,446.0,1284.0,414.0,1.3485,85100.0,0,1,0,0,0,74988.50268073723
-122.37,37.95,35.0,215.0,45.0,100.0,34.0,1.6023,81300.0,0,0,0,1,0,98828.36885092252
-118.25,33.93,42.0,819.0,233.0,899.0,228.0,1.1346,85400.0,1,0,0,0,0,88873.42713332172
-118.35,33.94,38.0,1794.0,508.0,2188.0,454.0,2.6654,142200.0,1,0,0,0,0,126037.50430527738
-122.72,38.35,16.0,3049.0,609.0,1675.0,618.0,2.4117,162500.0,1,0,0,0,0,147781.28760871204
-120.06,39.15,22.0,2213.0,372.0,98.0,42.0,1.1912,170000.0,0,1,0,0,0,181275.1303776854
-121.87,37.1,20.0,1918.0,304.0,798.0,302.0,7.5755,402300.0,1,0,0,0,0,378815.11035084265
-122.17,37.72,5.0,1692.0,398.0,814.0,328.0,3.663,158300.0,0,0,0,1,0,168496.23188090164
-122.02,37.38,32.0,1889.0,487.0,1321.0,508.0,3.2574,254400.0,1,0,0,0,0,254391.97367170433
-122.3,37.81,52.0,572.0,109.0,274.0,82.0,1.8516,85000.0,0,0,0,1,0,99349.71262066605
-117.28,33.06,8.0,4172.0,1022.0,2585.0,941.0,4.0118,245800.0,0,0,0,0,1,222877.4610958983
-122.1,37.4,27.0,3410.0,1156.0,2314.0,1086.0,3.4868,165600.0,0,0,0,1,0,191847.95502052255
-117.28,32.83,34.0,2392.0,653.0,933.0,619.0,3.7306,500000.0,0,0,0,0,1,478588.1729246766
-122.17,37.74,47.0,463.0,134.0,327.0,137.0,2.15,97200.0,0,0,0,1,0,93295.63009942797
-118.94,34.24,5.0,10018.0,1233.0,4253.0,1120.0,8.9063,500001.0,1,0,0,0,0,480107.5165704387
-116.86,32.8,19.0,1747.0,291.0,848.0,290.0,4.875,187200.0,1,0,0,0,0,175988.8158520051
-119.59,34.39,35.0,622.0,170.0,278.0,139.0,3.6969,335000.0,1,0,0,0,0,320320.6760493947
-122.25,37.8,29.0,2468.0,864.0,1335.0,773.0,1.3929,193800.0,0,0,0,1,0,198372.4964987931
-122.25,38.09,48.0,833.0,188.0,652.0,165.0,2.2417,87900.0,0,0,0,1,0,72226.17714124924
-117.3,34.54,31.0,1174.0,360.0,1161.0,328.0,1.06,56500.0,0,1,0,0,0,58379.67141783013
-117.94,33.62,25.0,1188.0,264.0,569.0,249.0,3.6607,500001.0,1,0,0,0,0,452104.3614677106
-120.93,37.72,18.0,391.0,71.0,247.0,71.0,4.3864,179500.0,0,1,0,0,0,165919.89693342368
-120.72,38.24,32.0,2685.0,543.0,1061.0,492.0,2.5473,101600.0,0,1,0,0,0,122402.62571314201
-117.95,33.84,34.0,1229.0,215.0,1035.0,218.0,3.5455,180000.0,1,0,0,0,0,168389.69333733144
-117.96,34.53,10.0,2907.0,559.0,1681.0,531.0,3.8594,141000.0,0,1,0,0,0,127090.3136948162
-119.16,34.2,35.0,2183.0,636.0,3504.0,623.0,1.9704,160300.0,0,0,0,0,1,166068.9269249976
-118.59,34.21,34.0,1943.0,320.0,895.0,305.0,5.0462,227700.0,1,0,0,0,0,244920.19961083977
-117.95,33.8,34.0,1654.0,285.0,905.0,292.0,4.6389,214600.0,1,0,0,0,0,209396.5736228332
-122.07,37.06,31.0,1634.0,370.0,939.0,332.0,3.8625,232300.0,0,0,0,0,1,217677.03087468812
-121.77,37.22,16.0,3992.0,540.0,2097.0,555.0,6.7287,299300.0,1,0,0,0,0,306509.77847452916
-121.35,38.66,24.0,3313.0,769.0,1631.0,681.0,2.5556,105700.0,0,1,0,0,0,110852.47936641113
-122.18,37.79,46.0,2109.0,387.0,922.0,329.0,3.9712,208100.0,0,0,0,1,0,182701.65948934018
-118.39,34.05,25.0,2814.0,701.0,1139.0,658.0,4.0153,460000.0,1,0,0,0,0,461065.3426451845
-121.77,37.24,12.0,10236.0,1878.0,5674.0,1816.0,4.747,261100.0,1,0,0,0,0,246970.24810214498
-121.85,39.74,39.0,1139.0,265.0,623.0,264.0,2.2833,85800.0,0,1,0,0,0,80483.95407436926
-117.69,33.52,3.0,7374.0,1444.0,3214.0,1279.0,4.538,278200.0,1,0,0,0,0,278581.57089830545
-119.19,34.18,32.0,3366.0,677.0,2857.0,669.0,4.6186,181100.0,0,0,0,0,1,189443.39738871498
-121.98,38.05,31.0,2810.0,518.0,1640.0,503.0,3.3661,98500.0,0,1,0,0,0,108949.11227835006
-121.78,37.68,17.0,3112.0,872.0,1392.0,680.0,3.0222,172500.0,0,1,0,0,0,182543.76238333943
-122.03,37.29,22.0,3118.0,438.0,1147.0,425.0,10.3653,500001.0,1,0,0,0,0,510606.7755083518
-122.25,37.45,34.0,2999.0,365.0,927.0,369.0,10.2811,500001.0,0,0,0,0,1,517865.24673876533
-117.29,34.06,7.0,1971.0,403.0,1336.0,423.0,4.5066,111500.0,0,1,0,0,0,96488.58693837725
-118.01,34.15,52.0,2234.0,472.0,986.0,439.0,3.9125,265500.0,0,1,0,0,0,268195.5085808207
-117.89,34.11,36.0,806.0,147.0,446.0,153.0,4.5221,151300.0,1,0,0,0,0,162404.33925997285
-122.48,37.93,16.0,2947.0,802.0,1385.0,743.0,3.6731,318000.0,0,0,0,1,0,294608.6129952036
-118.27,33.98,30.0,1966.0,584.0,2028.0,535.0,1.625,101500.0,1,0,0,0,0,114721.96933012495
-118.29,34.03,38.0,1501.0,437.0,1777.0,441.0,2.0848,135200.0,1,0,0,0,0,141694.73160899192
-121.96,38.32,12.0,5127.0,998.0,2749.0,976.0,4.0458,130600.0,0,1,0,0,0,149988.99114303628
-117.95,33.87,22.0,1432.0,335.0,746.0,296.0,2.0227,55000.0,1,0,0,0,0,129233.39432462698
-119.84,34.44,28.0,977.0,162.0,537.0,159.0,4.2404,274300.0,0,0,0,0,1,276975.65786444535
-121.32,38.67,31.0,2532.0,479.0,1396.0,467.0,4.0417,114500.0,0,1,0,0,0,115919.80135446374
-118.17,33.79,28.0,1219.0,408.0,1816.0,348.0,1.7589,118300.0,0,0,0,0,1,128347.73224580492
-122.42,37.8,52.0,3823.0,1040.0,1830.0,977.0,4.2458,450000.0,0,0,0,1,0,452023.1784819836
-122.09,37.36,37.0,2269.0,325.0,930.0,321.0,7.5274,500001.0,0,0,0,1,0,496261.376539828
-117.84,33.84,23.0,6157.0,1129.0,2817.0,1073.0,5.0629,232600.0,1,0,0,0,0,257087.2331464858
-117.71,33.64,14.0,2945.0,356.0,1293.0,335.0,8.111,308900.0,1,0,0,0,0,332435.8774841075
-117.9,34.1,31.0,3007.0,653.0,1766.0,616.0,3.7083,166000.0,1,0,0,0,0,186591.636742648
-121.43,38.61,33.0,2289.0,576.0,1100.0,503.0,2.1694,95700.0,0,1,0,0,0,94082.485870879
-118.09,33.89,27.0,3399.0,882.0,2465.0,811.0,3.099,166600.0,1,0,0,0,0,174850.0419293673
-117.27,33.18,4.0,3371.0,773.0,1481.0,627.0,2.9133,215700.0,0,0,0,0,1,194527.72040969247
-116.0,32.74,26.0,1134.0,280.0,329.0,158.0,1.4338,43900.0,0,1,0,0,0,42218.41705297935
-119.06,34.23,29.0,3511.0,632.0,2591.0,596.0,3.0219,221700.0,1,0,0,0,0,194647.99216641567
-120.19,39.35,7.0,2611.0,395.0,482.0,159.0,5.0622,174100.0,0,1,0,0,0,168569.08457205494
-118.24,34.23,42.0,1541.0,280.0,753.0,264.0,5.1028,292100.0,1,0,0,0,0,292436.8727306967
-122.32,38.0,32.0,2275.0,397.0,1233.0,418.0,4.0437,162800.0,0,0,0,1,0,144927.71312382442
-122.55,37.99,34.0,3306.0,555.0,1398.0,585.0,4.8993,319900.0,0,0,0,1,0,315646.91422802856
-122.43,37.78,2.0,1205.0,468.0,577.0,363.0,3.6437,275000.0,0,0,0,1,0,276476.906951767
-118.94,35.37,33.0,3372.0,741.0,2352.0,704.0,2.0643,57600.0,0,1,0,0,0,55039.1448654095
-119.34,36.23,12.0,4965.0,872.0,2191.0,804.0,3.5611,90200.0,0,1,0,0,0,107165.48102518183
-119.66,34.43,27.0,5509.0,1059.0,2591.0,979.0,3.8456,500001.0,1,0,0,0,0,426138.1440662828
-121.82,37.39,37.0,4137.0,636.0,1569.0,578.0,6.1008,286200.0,1,0,0,0,0,309849.77834481583
-122.26,37.85,52.0,2491.0,474.0,1098.0,468.0,3.075,213500.0,0,0,0,1,0,221951.6684549982
-117.68,34.11,16.0,3190.0,471.0,1414.0,464.0,5.5292,208600.0,0,1,0,0,0,209767.87463003822
-122.33,37.97,19.0,5151.0,1335.0,2548.0,1165.0,3.3125,158800.0,0,0,0,1,0,157964.5945049069
-122.19,37.74,43.0,707.0,147.0,417.0,155.0,2.5139,83400.0,0,0,0,1,0,105655.0146938091
