longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_<1H OCEAN,ocean_INLAND,ocean_ISLAND,ocean_NEAR BAY,ocean_NEAR OCEAN
-119.01,36.06,31.531205122257976,4803.484215699549,1068.246542132657,1392.0,359.0,1.6812,47700.0,0,1,0,0,0
-119.46,35.14,45.52778382400336,6241.484215699549,1068.246542132657,1565.0,584.0,2.5313,45800.0,0,1,0,0,0
-122.44,37.8,58.244939363859274,7128.484215699549,1068.246542132657,1310.0,963.0,3.4801,500001.0,0,0,0,1,0
-118.72,34.28,-7.6284042545740895,6349.484215699549,1068.246542132657,1705.0,495.0,5.7376,218600.0,1,0,0,0,0
-121.93,36.62,51.11034535044145,5649.484215699549,1068.246542132657,1063.0,428.0,3.725,278000.0,0,0,0,0,1
-117.61,34.08,20.43604528335314,7725.484215699549,1068.246542132657,2400.0,843.0,4.7147,158700.0,0,1,0,0,0
-118.02,33.89,25.852106080880443,4673.484215699549,1068.246542132657,670.0,221.0,5.0839,198200.0,1,0,0,0,0
-118.08,33.92,48.982566986317906,4633.484215699549,1068.246542132657,1011.0,269.0,3.6908,157500.0,1,0,0,0,0
-122.08,37.39,10.890063712630646,5590.484215699549,1068.246542132657,1050.0,584.0,4.8036,340000.0,0,0,0,1,0
-118.23,34.18,50.55881811983739,5630.484215699549,1068.246542132657,943.0,339.0,8.1132,446600.0,1,0,0,0,0
-120.37,38.01,30.5371527180068,3771.484215699549,1068.246542132657,242.0,93.0,2.5417,123200.0,0,1,0,0,0
-118.12,34.08,45.33234372566086,5546.484215699549,1068.246542132657,1762.0,622.0,3.0,253900.0,1,0,0,0,0
-117.91,33.76,6.081734015103912,7711.484215699549,1068.246542132657,4818.0,1063.0,2.8594,215100.0,1,0,0,0,0
-119.19,34.2,14.921160425649502,6918.484215699549,1068.246542132657,3171.0,779.0,3.3409,220500.0,0,0,0,0,1
-117.98,33.92,17.888413889242173,6998.484215699549,1068.246542132657,1793.0,552.0,5.3668,219800.0,1,0,0,0,0
-117.91,34.02,33.3176109938236,9567.48421569955,1068.246542132657,5587.0,1251.0,3.8201,136200.0,1,0,0,0,0
-122.1,37.69,41.75070919853434,4044.484215699549,1068.246542132657,387.0,161.0,3.9063,178400.0,0,0,0,1,0
-121.02,37.48,20.47285184391759,3765.484215699549,1068.246542132657,244.0,83.0,4.1346,187500.0,0,1,0,0,0
-117.05,32.75,21.222690528840793,5322.484215699549,1068.246542132657,1030.0,390.0,3.8233,139800.0,0,0,0,0,1
-120.97,37.43,22.139316791955373,4678.484215699549,1068.246542132657,810.0,262.0,2.1875,137500.0,0,1,0,0,0
-122.16,37.45,47.15387929288671,7532.484215699549,1068.246542132657,1808.0,1093.0,4.2297,425000.0,0,0,0,1,0
-118.37,34.07,44.791373135311176,5817.484215699549,1068.246542132657,1117.0,516.0,4.3667,405600.0,1,0,0,0,0
-119.73,36.83,32.45654751344015,6900.484215699549,1068.246542132657,1959.0,580.0,5.3478,138800.0,0,1,0,0,0
-122.39,37.59,51.026110440821995,7795.484215699549,1068.246542132657,1846.0,715.0,6.1323,500001.0,0,0,0,0,1
-117.14,32.9,-35.23833403403081,6515.484215699549,1068.246542132657,2054.0,687.0,4.2234,162100.0,1,0,0,0,0
-119.38,36.53,2.299486864942203,4579.484215699549,1068.246542132657,1423.0,293.0,1.9602,51400.0,0,1,0,0,0
-118.36,33.96,22.696977439742305,6841.484215699549,1068.246542132657,2742.0,951.0,2.5504,151300.0,1,0,0,0,0
-124.13,40.55,30.021011834537973,3842.484215699549,1068.246542132657,240.0,91.0,3.25,94800.0,1,0,0,0,0
