longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_lt1H_OCEAN,ocean_INLAND,ocean_ISLAND,ocean_NEAR_BAY,ocean_NEAR_OCEAN,prediction
-119.01,36.06,25.0,1505.0,435.0,1392.0,359.0,1.6812,47700.0,0,1,0,0,0,50448.952381132956
-119.46,35.14,30.0,2943.0,435.0,1565.0,584.0,2.5313,45800.0,0,1,0,0,0,78047.96969032584
-122.44,37.8,52.0,3830.0,435.0,1310.0,963.0,3.4801,500001.0,0,0,0,1,0,476267.86897747696
-118.72,34.28,17.0,3051.0,435.0,1705.0,495.0,5.7376,218600.0,1,0,0,0,0,247897.02660316447
-121.93,36.62,34.0,2351.0,435.0,1063.0,428.0,3.725,278000.0,0,0,0,0,1,292155.6251313313
-117.61,34.08,12.0,4427.0,435.0,2400.0,843.0,4.7147,158700.0,0,1,0,0,0,168779.8341937117
-118.02,33.89,36.0,1375.0,435.0,670.0,221.0,5.0839,198200.0,1,0,0,0,0,254951.7660052137
-118.08,33.92,38.0,1335.0,435.0,1011.0,269.0,3.6908,157500.0,1,0,0,0,0,184085.2000973681
-122.08,37.39,4.0,2292.0,435.0,1050.0,584.0,4.8036,340000.0,0,0,0,1,0,288549.0115905623
-118.23,34.18,45.0,2332.0,435.0,943.0,339.0,8.1132,446600.0,1,0,0,0,0,471171.50907663174
-120.37,38.01,30.0,473.0,435.0,242.0,93.0,2.5417,123200.0,0,1,0,0,0,143073.1972166741
-118.12,34.08,35.0,2248.0,435.0,1762.0,622.0,3.0,253900.0,1,0,0,0,0,215490.82897805545
-117.91,33.76,20.0,4413.0,435.0,4818.0,1063.0,2.8594,215100.0,1,0,0,0,0,187790.66306480323
-119.19,34.2,18.0,3620.0,435.0,3171.0,779.0,3.3409,220500.0,0,0,0,0,1,177448.9545182123
-117.98,33.92,27.0,3700.0,435.0,1793.0,552.0,5.3668,219800.0,1,0,0,0,0,246781.67220832896
-117.91,34.02,22.0,6269.0,435.0,5587.0,1251.0,3.8201,136200.0,1,0,0,0,0,188761.87338336968
-122.1,37.69,41.0,746.0,435.0,387.0,161.0,3.9063,178400.0,0,0,0,1,0,191257.7659587231
-121.02,37.48,26.0,467.0,435.0,244.0,83.0,4.1346,187500.0,0,1,0,0,0,186222.93458609344
-117.05,32.75,36.0,2024.0,435.0,1030.0,390.0,3.8233,139800.0,0,0,0,0,1,141227.724595788
-120.97,37.43,27.0,1380.0,435.0,810.0,262.0,2.1875,137500.0,0,1,0,0,0,122728.8698065111
-122.16,37.45,47.0,4234.0,435.0,1808.0,1093.0,4.2297,425000.0,0,0,0,1,0,383201.4054444153
-118.37,34.07,50.0,2519.0,435.0,1117.0,516.0,4.3667,405600.0,1,0,0,0,0,412911.4156674748
-119.73,36.83,8.0,3602.0,435.0,1959.0,580.0,5.3478,138800.0,0,1,0,0,0,140298.96666258178
-122.39,37.59,32.0,4497.0,435.0,1846.0,715.0,6.1323,500001.0,0,0,0,0,1,435152.63225055835
-117.14,32.9,16.0,3217.0,435.0,2054.0,687.0,4.2234,162100.0,1,0,0,0,0,162704.84234319217
-119.38,36.53,38.0,1281.0,435.0,1423.0,293.0,1.9602,51400.0,0,1,0,0,0,70826.91495710847
-118.36,33.96,26.0,3543.0,435.0,2742.0,951.0,2.5504,151300.0,1,0,0,0,0,179468.0065047696
-124.13,40.55,38.0,544.0,435.0,240.0,91.0,3.25,94800.0,1,0,0,0,0,104227.11077543587
-121.98,37.96,22.0,2987.0,435.0,1420.0,540.0,3.65,204100.0,0,1,0,0,0,150158.9172583706
-118.3,33.72,35.0,2790.0,435.0,1167.0,441.0,6.2028,361500.0,0,0,0,0,1,383233.07623690146
-122.17,37.75,38.0,992.0,435.0,732.0,259.0,1.6196,85100.0,0,0,0,1,0,88413.13666208426
-118.31,34.03,47.0,1315.0,435.0,785.0,245.0,1.23,138400.0,1,0,0,0,0,187408.55482768605
-117.23,32.75,5.0,1824.0,435.0,892.0,426.0,3.4286,137500.0,0,0,0,0,1,176445.60313684348
-122.08,37.37,29.0,1229.0,435.0,707.0,194.0,7.1108,465000.0,0,0,0,1,0,409919.31877529016
-122.5,37.75,44.0,1819.0,435.0,1137.0,354.0,3.4919,271800.0,0,0,0,0,1,245613.15642212873
-118.5,34.46,17.0,10267.0,435.0,4956.0,1483.0,5.5061,239400.0,1,0,0,0,0,265419.72959811956
-122.39,37.6,34.0,707.0,435.0,381.0,156.0,4.375,340900.0,0,0,0,0,1,332610.28317044146
-117.96,34.03,35.0,2093.0,435.0,1755.0,403.0,3.4115,150400.0,1,0,0,0,0,169950.8773530218
-121.13,38.87,48.0,1127.0,435.0,530.0,186.0,3.0917,128100.0,0,1,0,0,0,125270.1105945753
-118.17,33.98,41.0,756.0,435.0,873.0,212.0,2.7321,156000.0,1,0,0,0,0,158869.49476342264
-118.75,34.29,17.0,5512.0,435.0,2734.0,814.0,6.6073,258100.0,1,0,0,0,0,298830.5127288501
-119.45,36.61,24.0,1302.0,435.0,693.0,243.0,3.7917,90500.0,0,1,0,0,0,120269.40971925034
-120.85,37.78,25.0,421.0,435.0,303.0,106.0,2.2679,71300.0,0,1,0,0,0,146002.9087561828
-117.98,33.73,18.0,3833.0,435.0,2192.0,996.0,3.4679,219700.0,1,0,0,0,0,205508.01366046607
-117.65,34.04,15.0,3393.0,435.0,2039.0,611.0,3.9336,151000.0,0,1,0,0,0,153010.7833442866
-118.43,34.2,28.0,3386.0,435.0,2240.0,737.0,3.0221,290100.0,1,0,0,0,0,230411.59409410515
-117.03,32.73,34.0,2061.0,435.0,1169.0,400.0,3.5096,142000.0,0,0,0,0,1,127710.9969305863
-117.09,32.77,31.0,3062.0,435.0,1263.0,539.0,3.0875,291500.0,0,0,0,0,1,140560.17346970626
-118.3,33.73,42.0,1731.0,435.0,866.0,403.0,2.7451,255400.0,0,0,0,0,1,286796.08481502545
-124.06,40.86,34.0,4183.0,435.0,1891.0,669.0,3.2216,98100.0,0,0,0,0,1,123976.90806411319
-122.91,38.46,18.0,2021.0,435.0,912.0,329.0,4.5,251900.0,1,0,0,0,0,249058.54703465648
